-- BATHTUBS --,Description,Finish,Model #,List Price,Vendor,Mult.,Specs,Images,ImageFormula,RETURN TO TABLE OF CONTENTS
Kohler Stargaze 72x36x25 (Acrylic / Freestanding / Centered),"Stargaze Acrylic freestanding tub 
- Center Drain
- Nominal Size: 72"" x 36"" x 25""
- Bathing Well: 50"" x 25 1/2"" x 17""
- 90 Gallon Capacity
- Requires K-7265 Brass Toe Tap Drain or K-37385 Rough in Cable Drain",White,K-6366,"$3,798.00",Granite Group,0.6,https://www.us.kohler.com/us/stargaze-72-x-36-freestanding-bath-with-straight-shroud-and-center-drain/productDetail/bathing/961643.htm?skuId=961623&brandId=964943,,"=IMAGE(""https://kohler.scene7.com/is/image/PAWEB/Category_Template?$PDPcon$&$gradient_src=PAWEB%2Forganic-gradient&$shadow_src=PAWEB%2FBlank&$Badge1_src=PAWEB%2FBlank&$Badge4_src=PAWEB%2FBlank&$Badge3_src=PAWEB%2FBlank&$Badge2_src=PAWEB%2FBlank&$product_src=is{PAWEB%2Fzab30804_rgb}&fmt"",1)",
Kohler Sunstruck 66x36x24 (Acrylic / Freestanding / Center),"Sunstruck® acrylic oval freestanding bath with straight shroud, center drain, and wide ledge for faucet installation | Nominal Size: 66"" x 36"" x 24"" | Bathing Well: 45 3/4"" 24 7/8"" 16"" (72.6 gallon capacity); Therapy systems available; Requires ClearFlo toe-tap drain (K-7265)",White,K-6368-0,"$3,551.40",Granite Group,0.6,https://www.us.kohler.com/us/sunstruck-66-x-36-oval-freestanding-bath-with-straight-shroud-and-center-drain/productDetail/bathing/961645.htm?skuId=961627&brandId=964942,,"=IMAGE(""https://kohler.scene7.com/is/image/PAWEB/Category_Template?$PDPcon$&$gradient_src=PAWEB%2Forganic-gradient&$shadow_src=PAWEB%2FBlank&$Badge1_src=PAWEB%2FBlank&$Badge4_src=PAWEB%2FBlank&$Badge3_src=PAWEB%2FBlank&$Badge2_src=PAWEB%2FBlank&$product_src=is{PAWEB%2Fzab30768_rgb}"",1)",
Kohler Underscore 60x30x20 (Acrylic / Alcove / LH),"Underscore® acrylic alcove bath with integral apron, integral flange, and left-hand drain | Nominal Size: 60"" x 30"" x 20"" | Bathing Well: 46 1/4"" x 22"" x 15 1/2"" (68 gallon capacity); Requires ClearFlo slotted drain (K-7272)",White,K-20201-LA-0,"$1,028.55",Granite Group,0.6,https://www.us.kohler.com/us/underscore-60-x-30-alcove-bath-w-integral-apron-integral-flange-and-left-hand-drain/productDetail/bathing/1302655.htm,,"=IMAGE(""https://kohler.scene7.com/is/image/PAWEB/Category_Template?$PDPcon$&$gradient_src=PAWEB%2Forganic-gradient&$shadow_src=PAWEB%2FBlank&$Badge1_src=PAWEB%2FBlank&$Badge4_src=PAWEB%2FBlank&$Badge3_src=PAWEB%2FBlank&$Badge2_src=PAWEB%2FBlank&$product_src=is{PAWEB%2Fzac10581_rgb}"",1)",
Kohler Underscore 60x30x20 (Acrylic / Alcove / RH),"Underscore® acrylic alcove bath with integral apron, integral flange, and right-hand drain | Nominal Size: 60"" x 30"" x 20"" | Bathing Well: 46 1/4"" x 22"" x 15 1/2"" (68 gallon capacity); Requires ClearFlo slotted drain (K-7272)",White,K-20201-RA-0,"$1,028.55",Granite Group,0.6,https://www.us.kohler.com/us/underscore-60-x-30-alcove-bath-w-integral-apron-integral-flange-and-right-hand-drain/productDetail/bathing/1302656.htm?skuId=1302577&brandId=656492,,"=IMAGE(""https://kohler.scene7.com/is/image/PAWEB/Category_Template?$PDPcon$&$gradient_src=PAWEB%2Forganic-gradient&$shadow_src=PAWEB%2FBlank&$Badge1_src=PAWEB%2FBlank&$Badge4_src=PAWEB%2FBlank&$Badge3_src=PAWEB%2FBlank&$Badge2_src=PAWEB%2FBlank&$product_src=is{PAWEB%2Fzac10585_rgb}"",1)",
Kohler Underscore 60x30x22 (Acrylic / Alcove / LH),"Underscore® acrylic alcove bath with integral apron, integral flange, and left-hand drain | Nominal Size: 60"" x 30"" x 22"" | Bathing Well: 46 1/4"" x 22"" x 15 1/2"" (68 gallon capacity); Requires ClearFlo slotted drain (K-7272)",White,K-1956-LA-0,"$1,028.55",Granite Group,0.6,https://www.us.kohler.com/us/underscore-60-x-30-alcove-bath-w-integral-apron-integral-flange-and-left-hand-drain/productDetail/bathing/1267892.htm?skuId=1267798&brandId=656492,,"=IMAGE(""https://kohler.scene7.com/is/image/PAWEB/Category_Template?$PDPcon$&$gradient_src=PAWEB%2Forganic-gradient&$shadow_src=PAWEB%2FBlank&$Badge1_src=PAWEB%2FBlank&$Badge4_src=PAWEB%2FBlank&$Badge3_src=PAWEB%2FBlank&$Badge2_src=PAWEB%2FBlank&$product_src=is{PAWEB%2Fzac10581_rgb}"",1)",
Kohler Underscore 60x30x22 (Acrylic / Alcove / RH),"Underscore® acrylic alcove bath with integral apron, integral flange, and right-hand drain | Nominal Size: 60"" x 30"" x 22"" | Bathing Well: 46 1/4"" x 22"" x 15 1/2"" (68 gallon capacity); Requires ClearFlo slotted drain (K-7272)",White,K-1956-RA-0,"$1,028.55",Granite Group,0.6,https://www.us.kohler.com/us/underscore-60-x-30-alcove-bath-w-integral-apron-integral-flange-and-right-hand-drain/productDetail/bathing/1267893.htm,,"=IMAGE(""https://kohler.scene7.com/is/image/PAWEB/Category_Template?$PDPcon$&$gradient_src=PAWEB%2Forganic-gradient&$shadow_src=PAWEB%2FBlank&$Badge1_src=PAWEB%2FBlank&$Badge4_src=PAWEB%2FBlank&$Badge3_src=PAWEB%2FBlank&$Badge2_src=PAWEB%2FBlank&$product_src=is{PAWEB%2Fzac10585_rgb}"",1)",
Kohler Underscore 60x32x22 (Acrylic / Alcove / LH),"Underscore® acrylic alcove bath with integral apron, integral flange, and left-hand drain | Nominal Size: 60"" x 32"" x 22"" | Bathing Well: 46 1/4"" x 22"" x 15 1/2"" (68 gallon capacity); Requires ClearFlo slotted drain (K-7272)",White,K-1957-LA-0,"$1,028.55",Granite Group,0.6,https://www.us.kohler.com/us/underscore-60-x-32-alcove-bath-w-integral-apron-integral-flange-and-left-hand-drain/productDetail/bathing/1267894.htm,,"=IMAGE(""https://kohler.scene7.com/is/image/PAWEB/Category_Template?$PDPcon$&$gradient_src=PAWEB%2Forganic-gradient&$shadow_src=PAWEB%2FBlank&$Badge1_src=PAWEB%2FBlank&$Badge4_src=PAWEB%2FBlank&$Badge3_src=PAWEB%2FBlank&$Badge2_src=PAWEB%2FBlank&$product_src=is{PAWEB%2Fzac10589_rgb}"",1)",
Kohler Underscore 60x32x22 (Acrylic / Alcove / RH),"Underscore® acrylic alcove bath with integral apron, integral flange, and right-hand drain | Nominal Size: 60"" x 32"" x 22"" | Bathing Well: 46 1/4"" x 22"" x 15 1/2"" (68 gallon capacity); Requires ClearFlo slotted drain (K-7272)",White,K-1957-RA-0,"$1,028.55",Granite Group,0.6,https://www.us.kohler.com/us/underscore-60-x-32-alcove-bath-with-integral-apron-integral-flange-and-right-hand-drain/productDetail/bathing/1267895.htm,,"=IMAGE(""https://kohler.scene7.com/is/image/PAWEB/Category_Template?$PDPcon$&$gradient_src=PAWEB%2Forganic-gradient&$shadow_src=PAWEB%2FBlank&$Badge1_src=PAWEB%2FBlank&$Badge4_src=PAWEB%2FBlank&$Badge3_src=PAWEB%2FBlank&$Badge2_src=PAWEB%2FBlank&$product_src=is{PAWEB%2Fzac10593_rgb}"",1)",
Kohler Underscore 60x32x21 (Acrylic / Undermount or Drop-In / LH or RH),"Underscore® acrylic undermount or drop-in bath
- Nominal Size: 60"" x 32"" x 21""
- Bathing Well: 42"" x 23 1/2"" x 17 1/8""
- 81 gallon capacity
- Requires Clearflo slotted drain (K-7272)
- Requires undermount kit (K-590)
- Therapy systems Available",White,K-1130-0,"$1,528.45",Granite Group,0.6,https://www.us.kohler.com/us/underscore-rectangle-60-x-32-drop-in-bath/productDetail/bathing/426400.htm?skuId=401128&brandId=656492,,"=IMAGE(""https://kohler.scene7.com/is/image/PAWEB/Category_Template?$PDPcon$&$gradient_src=PAWEB%2Forganic-gradient&$shadow_src=PAWEB%2FBlank&$Badge1_src=PAWEB%2FBlank&$Badge4_src=PAWEB%2FBlank&$Badge3_src=PAWEB%2FBlank&$Badge2_src=PAWEB%2FBlank&$product_src=is{PAWEB%2Fzaa61104_rgb}"",1)",
Kohler Underscore 66x32x22 (Acrylic / Undermount or Drop-In / LH or RH),"Underscore® acrylic undermount or drop-in bath | Nominal Size: 66"" x 32"" x 22"" | Bathing Well: 44 1/2"" x 22 5/16"" x 18"" (85.8 gal capacity); Requires Clearflo slotted drain (K-7272) and undermount installation kit (K-550); Therapy systems Available",White,K-1821-0,"$1,529.35",Granite Group,0.6,https://www.us.kohler.com/us/underscore-rectangle-66-x-32-drop-in-bath/productDetail/bathing/428728.htm?skuId=412447&brandId=656492,,"=IMAGE(""https://kohler.scene7.com/is/image/PAWEB/Category_Template?$PDPcon$&$gradient_src=PAWEB%2Forganic-gradient&$shadow_src=PAWEB%2FBlank&$Badge1_src=PAWEB%2FBlank&$Badge4_src=PAWEB%2FBlank&$Badge3_src=PAWEB%2FBlank&$Badge2_src=PAWEB%2FBlank&$product_src=is{PAWEB%2Fzaa61104_rgb}"",1)",
